ID,Ulasan,Kelas
1, belanja murah & mudah say,Positif
2,belanja produk digital disini aja gaesss pulsa token listrik tiket pesawat...termurah se- OL Shop lain,Positif
3,Sering belanja di bukalapak. Nyaman murah terpercaya.  Tapi ngga sreg sma Wishlishnya. Kalo yg udh di masukin daftar wishlish. suka ngga muncul euy :') perbaikkin lagi dong,Positif
4,ecommerce yang mudah utk belanja,Positif
5,Sangat membantu hidup saya..  mudah2n bukalapak panjang umur  amin,Positif
6,SEMAKIN BANYAK TEROBOSAN TEROBOSAN NYA BUKALAPAK MANTAP EUY,Positif
7,85 % saya menggunakan aplikasi ini saat berbelanja online karena ada pilihan kurir dan melacaknya mudah. kalo boleh saran tolong ditambah fitur cicilan tanpa kartu kredit untuk pembeli. Trims. Bukalapak Jaya selalu,Positif
8,Suka bangt Smoga lancar smuanya,Positif
9,Hendaknya diberi tahu jg persyaratan dan cara buka lapak/ belanja on line secara sistematis dan praktis sehingga mudah dipa hami masyarakat .Terima kasih.,Positif
10,Aplikasinya keren.paling responsive dibanding e-commerce yang lain.cuma mungkin bbrp fitur harus ditingkatkan lagi,Positif
11,terimakasih BL sy masih pelajar smk jd bisa berbisnis dgn omset bisa 1jt per bulan,Positif
12,Good Jadi gila jadi gila bukalapak bikin gila bikin gila sakitttttttt jiwaaaaaa sakittttt jiwa,Positif
13,5 bintang,Positif
14,Bagus. Banyak promonya,Positif
15,Rekomendasi banget,Positif
16,layanan jual beli online yang mantab,Positif
17,Mantap Gak salah lagi pilih BUKALAPAK emang cincai,Positif
18,Lebih murah dan aman berbelanja di sini,Positif
19,Bagus Selalu simpel dalam pelayanan dan cs nya ramah,Positif
20,Mantap dech,Positif
21,puas belanja aman nyaman dan lebih murah tentunya...BUKALAPAK puas deh,Positif
22,mohon ditambahkan lokasi pembayaran PDAM di daerah balikpapan🙏,Positif
23,Bukalapak barangnya lebih lengkap daripada aplikasi belanja yg gua download waktu itu... sukses terus bukalapak,Positif
24,Great Thank's so much for y'r good services,Positif
25,Selama belanja di bukalapak alhamdulillah aman aman saja,Positif
26,Persyaratan untuk mendapatkan komisi lebih di permudah lagi jadi orang biasa bisa jualan untuk e commers nya,Positif
27,Saya kasi bintang 5... aman bgt belanja di sini belanja aman,Positif
28,Aku suka karena @ghauzyutary itu me jadi aku sukaaa banget muach,Positif
29,Pustaka abadi Alhamdulillah... disini buku2 saya dapat terjual dgn mudah. Terima pkasih.,Positif
30,Baru pertama pake aplikasi ini Puas bangetsmoga bisa selalu seperti ini,Positif
31,Jual beli nyaman dan terpercaya sentosa tanpa ada gangguan hehe,Positif
32,Mantap BL Lapak yg bagus mudah aman,Positif
33,Bukalapak Sangat bagus jangan bikin kecewa pelanggan ya,Positif
34,Aplikasiny bermanfaat buat pelapak yang kecil seperti saya thanks,Positif
35,Berjodoh di Buka Lapak jualan saya menemukan jodohnya di sini. Setelah setahun tidak kunjung laku  baru 2 hari upload di BL  alhamdulillah langsung ada yg minat. Transaksi cepat pula. Terima kasih bukalapak buka jalan  buka harapan,Positif
36,Semoga install aplikasi ini bagus gak error,Positif
37,I like it so cari2 barang yg bisa di jual. ahhhh,Positif
38,Buka lapak Terpercaya......!!!!Mantab!!!!!!!!,Positif
39,Aplikasinya ga ribet banyak promonya,Positif
40,Bagus pertahankan kualitas semuanya bnykin promo dan Adain cod,Positif
41,trimakasih atas fasilitas yang diberikan dan promonya hehe,Positif
42,Buka lapak emang ok kaya diiklan tv hehe,Positif
43,Transaksi jadi lebih mudah pakai ecommerce Bukalapak,Positif
44,Bukalapak My Hero. Aman. Mudah. Cepat. Saya dapat banyak keuntungan di sini. Mantab & Thankyou. Sukses Selalu Bukalapak.,Positif
45,Keren dan enak mncari barangsaya beli alphard sama audi a7 lancar aja tidak ada tipuan ☺ mksih bukalapak,Positif
46,Santai dan Akurat,Positif
47,Top Membantu dlm berbelanja kebutuhan apapun semua ada,Positif
48,Mantabzz jaya abadi sentosa. Semoga semakin maju bukalapak,Positif
49,Sy suka bngt pakaii bukalapak diskonnya banyak,Positif
50,Mantap pengiriman cepet sampe . barang bagus ketika sampe,Positif
51,Mantaps pengiriman cepat,Positif
52,Kayaknya ini aplikasi ecom yg paling cepat..salut buat tim pengembangnya..,Positif
53,cepattepatmantap,Positif
54,Terima kasih Bukalapak selama ini belanja di Bukalapak gak pernah ngecewain packing rapi+cepat sampai+barang sesuai pesanan... Pokoknya TOP Markotop buat Bukalapak👍,Positif
55, Jempol dach,Positif
56,Pertahan kan. Semoga amanah,Positif
57,Sangat membantu. Saya kasih bintang banyak deh,Positif
58,Mantap untuk pelayanan bukalapak nomer satu,Positif
59,buka lapak sekarang pengirimannya cepet beda sma yang sebelah.,Positif
60,Aplikasi yang bagus serta bermanfaat trus kembang kan aplikasi y jgn mau kalah sama aplikasi tetangga heee,Positif
61,BukaLapak membuatku tidak repot belanja keluar,Positif
62,FAMILIAR Mudah pengoperasiannya sayang tdk bisa  untuk searching nama pelapak,Positif
63,Sruput aja gak pake lama langsung belanja dibukalapak,Positif
64,Bukalapak Bagus sekali karena  ada baju Putri  duyung nya,Positif
65,joss bukalapak emang cincaiiiii hehe,Positif
66,bagus tingkatkan lagi yah dalam pelayanan nya. Maju selalau,Positif
67,Tempat belanja lengkap dan unik. Semua barang yang diinginkan ada dan harganya terjangkau,Positif
68,selama ini memuaskan dan tidak ribet part laptop yang saya perlukan tersedia.,Positif
69,lumayan lah belanja jadi ngga ribet. Tinggal nunggu dirumah ,Positif
70,top bermanfaat bagi semua umat. Semoga pahalanya banyak,Positif
71,upgradenya bukalapak makin memudahkan antara pembeli dan penjual. sukses terus,Positif
72,Asik Diskon terus kagak takut rugi apa wkw,Positif
73,The best. Jual mudah beli pun mudah.. gk perlu risau,Positif
74,Kiriman sangat cepat barang sampai dengan selamat tanpa lecet,Positif
75,saya tidak pernah mendapatkan serbu seru 12 ribu padahal saya selalu mengikuti serbu seru setiap hari jam 8 13 dan 18 saya beli semua dari dulu sampai sekarang belum pernah mendapatkan serbu seru aplikasi selalu ku update. kok cuma dapat sendal 3. saya lihat di youtube bahkan ada yg sudah mendapatkan serbu seru 3x. saya yg dari dulu gak pernah dapat. bagaimna sih cara pengundian buka lapak. tolong di jawab atau ada tips lain untuk mendapatkan serbu seru dari buka lapak tks admin,Negatif
76,Sekarang saldo dari transaksi yang dibatalkan masuk ke saldo DANA dan untuk mencairkan dana ke rekening harus menggunakan aplikasi DANA. Menurut saya ini tidak praktis dan terkesan berbelit2. Belum lagi Aplikasi DANA Hanya memberikan 10x gratis tarik tunai selebihnya akan terkena biaya admin penarikan. Hal ini bisa menjadikan pembeli untuk berfikir 2x untuk berbelanja. dikarenakan akan ada kemungkinan mereka sulit untuk menarik kembali uang hasil pembatalan transaksi,Negatif
77,jangan install Bukalapak karena uang refund nanti nya di masukkan ke DANA. kalo mau cairkan uang nya harus instal aplikasi DANA. Aplikasi DANA sangat tidak bertanggung jawab. bagi yg mau install Bukalapak dan DANA wajib baca ulasan bintang 1 nya dulu ya supaya tidak menyesal seperti saya. uang saya dari refund Bukalapak di masukkan ke DANA dan sampai 20 mrt 2019 tidak bisa dicairkan alias diblokir tanpa alasan yg jelas. Ribet dan bertele-tele. ingat ya BACA bintang 1 nya dulu kalo mau instal,Negatif
